"filename", "language", "C#", "XML", "comment", "blank", "total"
"c:\Users\maxve\repos\school_system\Admin.cs", "C#", 68, 0, 0, 6, 74
"c:\Users\maxve\repos\school_system\IUser.cs", "C#", 5, 0, 0, 1, 6
"c:\Users\maxve\repos\school_system\Program.cs", "C#", 97, 0, 7, 8, 112
"c:\Users\maxve\repos\school_system\Student.cs", "C#", 15, 0, 0, 2, 17
"c:\Users\maxve\repos\school_system\SystemClass.cs", "C#", 4, 0, 0, 2, 6
"c:\Users\maxve\repos\school_system\Teacher.cs", "C#", 18, 0, 0, 2, 20
"c:\Users\maxve\repos\school_system\User.cs", "C#", 29, 0, 0, 2, 31
"c:\Users\maxve\repos\school_system\Utility.cs", "C#", 35, 0, 0, 4, 39
"c:\Users\maxve\repos\school_system\school_system.csproj", "XML", 0, 8, 0, 3, 11
"Total", "-", 271, 8, 7, 30, 316